"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GSE25088_IL4_VS_IL4_AND_ROSIGLITAZONE_STIM_MACROPHAGE_DAY10_UP","GSE25088_IL4_VS_IL4_AND_ROSIGLITAZONE_STIM_MACROPHAGE_DAY10_UP","GSE25088_IL4_VS_IL4_AND_ROSIGLITAZONE_STIM_MACROPHAGE_DAY10_UP","2/13","200/21372",0.0063506521828633,0.0063506521828633,0.0713851504765462,"161145/55213",2
"GSE27786_LIN_NEG_VS_BCELL_DN","GSE27786_LIN_NEG_VS_BCELL_DN","GSE27786_LIN_NEG_VS_BCELL_DN","2/13","200/21372",0.0063506521828633,0.0063506521828633,0.0713851504765462,"161145/6911",2
"GSE27786_LIN_NEG_VS_CD4_TCELL_DN","GSE27786_LIN_NEG_VS_CD4_TCELL_DN","GSE27786_LIN_NEG_VS_CD4_TCELL_DN","2/13","200/21372",0.0063506521828633,0.0063506521828633,0.0713851504765462,"6911/6810",2
"GSE27786_LSK_VS_ERYTHROBLAST_UP","GSE27786_LSK_VS_ERYTHROBLAST_UP","GSE27786_LSK_VS_ERYTHROBLAST_UP","2/13","200/21372",0.0063506521828633,0.0063506521828633,0.0713851504765462,"161145/83548",2
"GSE29618_PRE_VS_DAY7_POST_TIV_FLU_VACCINE_PDC_DN","GSE29618_PRE_VS_DAY7_POST_TIV_FLU_VACCINE_PDC_DN","GSE29618_PRE_VS_DAY7_POST_TIV_FLU_VACCINE_PDC_DN","2/13","200/21372",0.0063506521828633,0.0063506521828633,0.0713851504765462,"11273/55213",2
"GSE3039_ALPHABETA_CD8_TCELL_VS_B1_BCELL_DN","GSE3039_ALPHABETA_CD8_TCELL_VS_B1_BCELL_DN","GSE3039_ALPHABETA_CD8_TCELL_VS_B1_BCELL_DN","2/13","200/21372",0.0063506521828633,0.0063506521828633,0.0713851504765462,"23357/55213",2
"GSE3039_CD4_TCELL_VS_ALPHAALPHA_CD8_TCELL_UP","GSE3039_CD4_TCELL_VS_ALPHAALPHA_CD8_TCELL_UP","GSE3039_CD4_TCELL_VS_ALPHAALPHA_CD8_TCELL_UP","2/13","200/21372",0.0063506521828633,0.0063506521828633,0.0713851504765462,"11273/10166",2
"GSE33162_HDAC3_KO_VS_HDAC3_KO_4H_LPS_STIM_MACROPHAGE_UP","GSE33162_HDAC3_KO_VS_HDAC3_KO_4H_LPS_STIM_MACROPHAGE_UP","GSE33162_HDAC3_KO_VS_HDAC3_KO_4H_LPS_STIM_MACROPHAGE_UP","2/13","200/21372",0.0063506521828633,0.0063506521828633,0.0713851504765462,"91754/55213",2
"GSE3691_CONVENTIONAL_VS_PLASMACYTOID_DC_SPLEEN_DN","GSE3691_CONVENTIONAL_VS_PLASMACYTOID_DC_SPLEEN_DN","GSE3691_CONVENTIONAL_VS_PLASMACYTOID_DC_SPLEEN_DN","2/13","200/21372",0.0063506521828633,0.0063506521828633,0.0713851504765462,"83548/6810",2
"GSE37301_MULTIPOTENT_PROGENITOR_VS_PRO_BCELL_UP","GSE37301_MULTIPOTENT_PROGENITOR_VS_PRO_BCELL_UP","GSE37301_MULTIPOTENT_PROGENITOR_VS_PRO_BCELL_UP","2/13","200/21372",0.0063506521828633,0.0063506521828633,0.0713851504765462,"10166/55213",2
"GSE37301_MULTIPOTENT_PROGENITOR_VS_RAG2_KO_NK_CELL_UP","GSE37301_MULTIPOTENT_PROGENITOR_VS_RAG2_KO_NK_CELL_UP","GSE37301_MULTIPOTENT_PROGENITOR_VS_RAG2_KO_NK_CELL_UP","2/13","200/21372",0.0063506521828633,0.0063506521828633,0.0713851504765462,"10166/4150",2
"GSE40274_FOXP3_VS_FOXP3_AND_GATA1_TRANSDUCED_ACTIVATED_CD4_TCELL_UP","GSE40274_FOXP3_VS_FOXP3_AND_GATA1_TRANSDUCED_ACTIVATED_CD4_TCELL_UP","GSE40274_FOXP3_VS_FOXP3_AND_GATA1_TRANSDUCED_ACTIVATED_CD4_TCELL_UP","2/13","200/21372",0.0063506521828633,0.0063506521828633,0.0713851504765462,"83548/1201",2
"GSE40655_FOXO1_KO_VS_WT_NTREG_UP","GSE40655_FOXO1_KO_VS_WT_NTREG_UP","GSE40655_FOXO1_KO_VS_WT_NTREG_UP","2/13","200/21372",0.0063506521828633,0.0063506521828633,0.0713851504765462,"6911/1201",2
"GSE41176_WT_VS_TAK1_KO_ANTI_IGM_STIM_BCELL_3H_DN","GSE41176_WT_VS_TAK1_KO_ANTI_IGM_STIM_BCELL_3H_DN","GSE41176_WT_VS_TAK1_KO_ANTI_IGM_STIM_BCELL_3H_DN","2/13","200/21372",0.0063506521828633,0.0063506521828633,0.0713851504765462,"6810/1201",2
"GSE4142_NAIVE_BCELL_VS_PLASMA_CELL_DN","GSE4142_NAIVE_BCELL_VS_PLASMA_CELL_DN","GSE4142_NAIVE_BCELL_VS_PLASMA_CELL_DN","2/13","200/21372",0.0063506521828633,0.0063506521828633,0.0713851504765462,"161145/83548",2
"GSE43863_TH1_VS_LY6C_LOW_CXCR5NEG_EFFECTOR_CD4_TCELL_DN","GSE43863_TH1_VS_LY6C_LOW_CXCR5NEG_EFFECTOR_CD4_TCELL_DN","GSE43863_TH1_VS_LY6C_LOW_CXCR5NEG_EFFECTOR_CD4_TCELL_DN","2/13","200/21372",0.0063506521828633,0.0063506521828633,0.0713851504765462,"161145/6810",2
"GSE5503_LIVER_DC_VS_SPLEEN_DC_ACTIVATED_ALLOGENIC_TCELL_DN","GSE5503_LIVER_DC_VS_SPLEEN_DC_ACTIVATED_ALLOGENIC_TCELL_DN","GSE5503_LIVER_DC_VS_SPLEEN_DC_ACTIVATED_ALLOGENIC_TCELL_DN","2/13","200/21372",0.0063506521828633,0.0063506521828633,0.0713851504765462,"83548/1201",2
"GSE7831_CPG_VS_INFLUENZA_STIM_PDC_4H_UP","GSE7831_CPG_VS_INFLUENZA_STIM_PDC_4H_UP","GSE7831_CPG_VS_INFLUENZA_STIM_PDC_4H_UP","2/13","200/21372",0.0063506521828633,0.0063506521828633,0.0713851504765462,"161145/83548",2
"GSE7831_UNSTIM_VS_CPG_STIM_PDC_1H_UP","GSE7831_UNSTIM_VS_CPG_STIM_PDC_1H_UP","GSE7831_UNSTIM_VS_CPG_STIM_PDC_1H_UP","2/13","200/21372",0.0063506521828633,0.0063506521828633,0.0713851504765462,"161145/1201",2
